FilingDate,PeriodEnd,AdjustmentForAmortization,AmortizationOfDebtDiscountPremiumAndLeasedAssets,AmortizationOfFinancingCostsAndDiscounts,AmrOthercomprehensiveincomebenefitplanmodifications,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,Depreciation,DepreciationDepletionAndAmortization,FundsTransferredToAffiliatesNet,FundsTransferredtoAffiliatesInvestingActivities,GainLossOnDispositionOfPropertyPlantEquipmentAndSaleAndLeasebackTransactionNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAirTrafficLiability1,IncreaseDecreaseInCommodityContractAssetsAndLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInFrequentFlyerLiability,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherLiabilitiesAndDeferredCredits,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInPensionPlanObligations,IncreaseDecreaseInReceivables,IncreaseDecreaseInRestrictedCashAndInvestments,IncreaseDecreaseInRestrictedCashAndShortTermInvestments,IncreaseDecreaseOfRestrictedInvestments,InterestExpenseNonCash,Interestexpensenoncash,MainlineAndExpressDepreciationAndAmortization,NetCashProceedsFromSlotTransaction,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OtherComprehensiveIncomeLossTax,OtherNoncashIncomeExpense,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForProceedsFromProductiveAssets,PaymentsForProceedsFromShortTermInvestments,PaymentsForRepurchaseOfCommonStock,PaymentsOfDebtIssuanceCosts,PaymentsOfFinancingCosts,PaymentsOfOrdinaryDividends,PaymentsToAcquireEquityMethodInvestments,PaymentsToAcquireProductiveAssets,PaymentsToAcquireShortTermInvestments,PensionAndOtherPostretirementBenefitExpense,PensionAndOtherPostretirementBenefitsExpenseReversalOfExpenseNoncash,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromSaleLeasebackTransactions,ProceedsFromSaleOfIntangibleAssets,ProceedsFromSaleOfOtherInvestments,ProceedsFromSaleOfProductiveAssets,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSaleOfPropertyPlantAndEquipmentAndSaleLeaseBackTransactions,ProceedsFromSaleOfPropertyPlantAndEquipmentAndSaleLeasebackTransactions,ProceedsFromSaleOfShortTermInvestments,ProceedsFromStockOptionsExercised,ProceedsFromVendor,ReimbursementFromConstructionReserveAccount,ReorganizationItemsNonCash,RepaymentsOfDebtAndCapitalLeaseObligations,RepaymentsOfLongTermDebtAndCapitalLeaseObligations,SaleLeasebackTransactionNetProceeds,SaleLeasebackTransactionNetProceedsFinancingActivities,SaleLeasebackTransactionNetProceedsInvestingActivities,ShareBasedCompensation,SpecialCharges,SpecialChargesNonCash
2016-02-24,2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-24,2014-12-31,,-171000000,,,994000000,,,,,,-146000000,346000000,,,,176000000,,,110000000,160000000,-97000000,,,,-527000000,-229000000,,45000000,,,455000000,-810000000,,,261000000,,,,1513000000,,-315000000,-2911000000,3080000000,2882000000,,-3000000,,,,1062000000,106000000,,144000000,,5311000000,5380000000,-163000000,,3302000000,,6000000,,307000000,,,33000000,,,7179000000,10000000,,,,,3132000000,,811000000,,304000000,,52000000
2016-02-24,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-24,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-24,2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-24,2015-12-31,,-122000000,,,390000000,,,,,,-604000000,-3014000000,,,,,,,173000000,-352000000,-505000000,,,,-3695000000,-295000000,,90000000,,,-185000000,-6000000,,,79000000,,,,1609000000,,-1259000000,-5594000000,6249000000,7610000000,,12000000,,,,3846000000,87000000,,278000000,,6151000000,8126000000,-193000000,,5009000000,,53000000,,,52000000,,35000000,,,8517000000,,,,,,2153000000,,43000000,,284000000,,273000000
2017-02-22,2013-12-31,,,,,1140000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,2014-12-31,,-171000000,,,994000000,,,,,,-146000000,346000000,,,,,,,110000000,160000000,-97000000,,,527000000,,-229000000,,168000000,,,332000000,-810000000,,-261000000,,,,,1513000000,,-315000000,-2911000000,3080000000,2882000000,,-3000000,,,,1062000000,106000000,,144000000,,5311000000,5380000000,-163000000,,3302000000,,6000000,,307000000,,,33000000,,,7179000000,,,,,3132000000,,,811000000,,304000000,,52000000
2017-02-22,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,2015-12-31,,-122000000,,,390000000,,,,,,-604000000,-3014000000,,,,,,,173000000,-352000000,-505000000,,,3695000000,,-295000000,,27000000,,,-122000000,-6000000,,-79000000,,,,,1609000000,,-1259000000,-5594000000,6249000000,7610000000,,12000000,,,,3846000000,87000000,,278000000,,6151000000,8126000000,-193000000,,5009000000,,53000000,,,,,35000000,,,8517000000,,,,,2153000000,,,43000000,,284000000,,273000000
2017-02-22,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22,2016-12-31,,-119000000,,,322000000,,,,,,-68000000,1611000000,,,,,,,307000000,160000000,164000000,,,4862000000,,264000000,,184000000,,,105000000,-32000000,,-57000000,,,,,1818000000,,-894000000,-5698000000,6524000000,2676000000,,18000000,-2000000,,,4500000000,77000000,,224000000,,5731000000,6241000000,-68000000,,7701000000,,28000000,,,,,123000000,,,6092000000,,,,,3827000000,,,5000000,,100000000,,270000000
2018-02-21,2014-12-31,,,,,994000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,2015-12-31,,-122000000,,,390000000,,,,,,-604000000,-3014000000,,,,,,,173000000,-352000000,-505000000,,,3695000000,,-295000000,,27000000,,,-122000000,-6000000,,-79000000,,,,,1609000000,,-1259000000,-5594000000,6249000000,7610000000,,12000000,,,,3846000000,87000000,,278000000,0,6151000000,8126000000,,-193000000,5009000000,,96000000,,,52000000,,,35000000,,8517000000,,,,,2153000000,,,,,284000000,,273000000
2018-02-21,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,2016-12-31,,-119000000,,,322000000,,,,,,-68000000,1611000000,,,,,,,307000000,160000000,164000000,,,4862000000,,264000000,,184000000,,,105000000,-32000000,,-57000000,,,,,1818000000,,-894000000,-5698000000,6524000000,289000000,,18000000,,,,4500000000,77000000,,224000000,0,5731000000,6241000000,,-68000000,7701000000,,33000000,,,0,,,125000000,,6092000000,,,,,3827000000,,,,,100000000,,270000000
2018-02-21,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,2017-12-31,,-114000000,,,295000000,,,,,,-27000000,1141000000,,,,,,,299000000,190000000,66000000,,,1994000000,,2000000,,433000000,,,-132000000,-286000000,,-319000000,,,,,2017000000,,-1145000000,-3626000000,4744000000,258000000,,39000000,,,,1615000000,85000000,,198000000,203000000,5971000000,4633000000,,-132000000,3058000000,,27000000,,,0,,,947000000,,5915000000,,,,,2332000000,,,,,90000000,,272000000
2019-02-25,2015-12-31,,,,,,,,,507000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,2016-12-31,,-119000000,,,,,,,435000000,,-72000000,1556000000,,,,,,,307000000,160000000,,,158000000,4862000000,,,,184000000,,,105000000,-32000000,,,,-53000000,,,1818000000,,-894000000,-5702000000,6524000000,2584000000,,18000000,0,,,4500000000,77000000,,224000000,0,5731000000,6241000000,,-68000000,7701000000,,33000000,,,0,,,125000000,,6092000000,,,,,3827000000,,,,,100000000,,270000000
2019-02-25,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,2017-12-31,,-114000000,,,,,,,398000000,,-37000000,2089000000,,,,,,,299000000,190000000,,,65000000,1994000000,,,,433000000,,,-132000000,-286000000,,,,-309000000,,,2017000000,,-1145000000,-3636000000,4744000000,-583000000,,39000000,0,,,1615000000,85000000,,198000000,203000000,5971000000,4633000000,,-132000000,3058000000,,27000000,,,0,,,947000000,,5915000000,,,,,2332000000,,,,,90000000,,272000000
2019-02-25,2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,2018-12-31,,-92000000,,,,,,,286000000,,-112000000,440000000,,,,,,,-147000000,-222000000,,,297000000,1849000000,,,,390000000,,,-210000000,-475000000,,,,-72000000,,,2159000000,,-1672000000,-1973000000,3533000000,325000000,,64000000,7000000,,,837000000,59000000,,186000000,0,3745000000,3412000000,,-300000000,2354000000,,-3000000,,,207000000,,,1207000000,,3705000000,,,,,2941000000,,,,,86000000,,458000000
2020-02-19,2016-12-31,,,,,,,,,435000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2017-12-31,,,,,,,,,398000000,-37000000,,2089000000,,,,,,11000000,299000000,190000000,,,65000000,1994000000,,,,433000000,,,-132000000,-286000000,,,,-309000000,,,2017000000,,-1145000000,-3636000000,4744000000,1282000000,,142000000,0,,,1615000000,85000000,,198000000,203000000,5971000000,4633000000,,-132000000,3058000000,,27000000,,,0,,94000000,,,5915000000,,0,,,2332000000,,,,853000000,90000000,,272000000
2020-02-19,2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2018-12-31,,,,,,,,,286000000,-112000000,,440000000,,,,,,59000000,-147000000,-222000000,,,297000000,1849000000,,,,390000000,,,-210000000,-475000000,,,,-72000000,,,2159000000,,-1672000000,-1973000000,3533000000,1412000000,,97000000,7000000,,,837000000,59000000,,186000000,0,3745000000,3412000000,,-300000000,2354000000,,-3000000,,,207000000,,111000000,,,3705000000,,0,,,2941000000,,,,1096000000,86000000,,458000000
2020-02-19,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2019-12-31,,,,,,,,,290000000,4000000,,560000000,,,,,,112000000,327000000,-73000000,,,469000000,1772000000,,,,373000000,,,209000000,-1230000000,,,,3000000,,,2318000000,,-1568000000,-2243000000,3815000000,1686000000,,62000000,86000000,,,1097000000,61000000,,178000000,0,4268000000,3184000000,,-178000000,3960000000,,-2000000,850000000,,0,,54000000,,,4144000000,,250000000,,,4190000000,,,,,94000000,,376000000
2021-02-17,2017-12-31,,,,,,,,,398000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,2018-12-31,,,,,,,,,286000000,-112000000,,440000000,,,,,,59000000,-147000000,-222000000,,,297000000,1849000000,,,,390000000,,,-210000000,-475000000,,,,-72000000,,,2159000000,,-1672000000,-1973000000,3533000000,1412000000,,97000000,7000000,,,837000000,59000000,,186000000,,3745000000,3412000000,,-300000000,2354000000,0,-3000000,,,207000000,,111000000,,1096000000,3705000000,,0,,,2941000000,,,,,86000000,,458000000
2021-02-17,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,2019-12-31,,,,,,,,,290000000,4000000,,560000000,,,,,,112000000,327000000,-73000000,,,469000000,1772000000,,,,373000000,,,209000000,-1230000000,,,,3000000,,,2318000000,,-1568000000,-2243000000,3815000000,1686000000,,62000000,86000000,,,1097000000,61000000,,178000000,,4268000000,3184000000,,-178000000,3960000000,0,-2000000,,,0,,54000000,,850000000,4144000000,,250000000,,,4190000000,,,,,94000000,,376000000
2021-02-17,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2241000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2067000000,,,,,,,8000000,,,,,,,,353000000,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2399000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,2020-12-31,,,,,,,,,399000000,109000000,,-2568000000,,,,,,95000000,-626000000,-538000000,,,-51000000,-4134000000,,,,38000000,,,-823000000,-9000000,,,,308000000,,,2370000000,,10994000000,-4342000000,-6543000000,-8885000000,,-47000000,153000000,,,173000000,93000000,,43000000,,1958000000,5873000000,,-319000000,11780000000,2970000000,88000000,,,41000000,,351000000,,665000000,2803000000,,90000000,,,3535000000,,,,,91000000,,1599000000
